UserID,SegmentID,Start,End,# Interactions,# Documents Opened,Opened Documents,OpenDuration,# Documents Read,Read Documents,ReadDuration,# Documents Dragged,Dragged Documents,DraggingDuration,Most Read Document,# Highlighted,Highlighted Words,HighlightingDuration,# Searched,Searched Words,SearchDuration
3,6,374.4,548.9,31,2,['Armsdealing 27' 'Armsdealing 63'],719.2,19,"['Armsdealing 10' 'Armsdealing 17' 'Armsdealing 22' 'Armsdealing 25'
 'Armsdealing 27']",58.6,9,"['Armsdealing 100' 'Armsdealing 101' 'Armsdealing 102' 'Armsdealing 17'
 'Armsdealing 22' 'Armsdealing 97' 'Armsdealing 98' 'Armsdealing 99']",13.8,Armsdealing 22,0,[],0,1,['Saleh Ahmed'],1
3,7,548.9,910,41,2,['Armsdealing 3' 'Armsdealing 96'],353,26,['Armsdealing 27' 'Armsdealing 63' 'Armsdealing 96'],243.8,6,['Armsdealing 27' 'Armsdealing 63' 'Armsdealing 96'],8.8,Armsdealing 63,6,"['Saleh Ahmed', 'Saleh Ahmed', ' Government officials blame the notorious gun dealer Saleh Ahmed, for supplying the rebels, as well as operating gun exports to neighboring country of Saudi Arabia. Ahmed was part of an arms deal gone bad several weeks ago in Saudi, and may be looking to increase his business dealings in his home country.', 'Government officials blame the notorious gun dealer Saleh Ahmed, for supplying the rebels, as well as operating gun exports to neighboring country of Saudi Arabia. Ahmed was part of an arms deal gone bad several weeks ago in Saudi, and may be looking to increase his business dealings in his home country.', 'Mohammed Mohammed', 'Saleh Ahmed. ']",6,1,['Mohammed Mohammed'],1
3,8,910,951,5,1,['Armsdealing 33'],29,2,['Armsdealing 3'],37.9,1,['Armsdealing 3'],1,Armsdealing 3,0,[],0,1,['Arkadi Borodinski'],1
3,9,951,984.8,2,0,[],0,1,['Armsdealing 3'],3.5,0,[],0,Armsdealing 3,0,[],0,1,['Boonmee Khemkhaeng'],1
3,10,984.8,1017.1,6,2,['Armsdealing 24' 'Armsdealing 26'],582.9,3,['Armsdealing 26' 'Armsdealing 3'],27.9,0,[],0,Armsdealing 26,0,[],0,1,['Dubai'],1
3,11,1017.1,1157.3,20,1,['Armsdealing 65'],260,15,['Armsdealing 24' 'Armsdealing 26' 'Armsdealing 3'],125,2,['Armsdealing 24'],3.2,Armsdealing 24,0,[],0,2,"['Paris', 'Nigeria']",2
3,12,1157.3,1239.5,9,1,['Armsdealing 69'],191.2,5,['Armsdealing 65'],11.8,2,['Armsdealing 65'],1.8,Armsdealing 65,0,[],0,1,['Minsky'],1
3,13,1239.5,1268.6,4,1,['Armsdealing 72'],147,2,['Armsdealing 69'],1.6,1,['Armsdealing 69'],3.4,Armsdealing 69,0,[],0,0,[],0
3,14,1268.6,1346.6,9,0,[],0,7,['Armsdealing 65' 'Armsdealing 69' 'Armsdealing 72'],67.3,1,['Armsdealing 72'],1.6,Armsdealing 72,1,"['n Russian, Ukrainian, French, German, Dutch, English and Italian']",1,0,[],0
3,15,1346.6,1407.6,1,0,[],0,1,['Armsdealing 65'],0.9,0,[],0,Armsdealing 65,0,[],0,0,[],0
3,16,1407.6,1426.6,11,0,[],0,9,['Armsdealing 65' 'Armsdealing 69' 'Armsdealing 72'],6.8,2,['Armsdealing 65' 'Armsdealing 72'],3.7,Armsdealing 69,0,[],0,0,[],0
3,17,1426.6,1466.9,7,1,['Armsdealing 26'],1.4,4,['Armsdealing 24' 'Armsdealing 69'],2.7,2,['Armsdealing 24' 'Armsdealing 69'],2.8,Armsdealing 69,0,[],0,0,[],0
3,18,1466.9,1483.1,9,2,['Armsdealing 26' 'Armsdealing 51'],204.9,4,['Armsdealing 26'],7,2,['Armsdealing 26'],2.5,Armsdealing 26,0,[],0,1,['JANUARY 2009'],1
3,19,1483.1,1499.4,3,1,['Armsdealing 52'],187,1,['Armsdealing 51'],14.7,1,['Armsdealing 51'],1.8,Armsdealing 51,0,[],0,0,[],0
3,20,1499.4,1553.7,5,1,['Armsdealing 102'],136,2,['Armsdealing 52'],52.1,1,['Armsdealing 52'],3,Armsdealing 52,0,[],0,1,['18 April 2009'],1
3,21,1553.7,2076.4,78,15,"['Armsdealing 102' 'Armsdealing 27' 'Armsdealing 28' 'Armsdealing 29'
 'Armsdealing 4' 'Armsdealing 41' 'Armsdealing 45' 'Armsdealing 63'
 'Armsdealing 65' 'Armsdealing 69' 'Armsdealing 72' 'Armsdealing 8'
 'Armsdealing 96']",1947.9,39,"['Armsdealing 102' 'Armsdealing 28' 'Armsdealing 29' 'Armsdealing 4'
 'Armsdealing 45' 'Armsdealing 52' 'Armsdealing 8']",334.8,22,"['Armsdealing 102' 'Armsdealing 26' 'Armsdealing 28' 'Armsdealing 29'
 'Armsdealing 3' 'Armsdealing 4' 'Armsdealing 45' 'Armsdealing 51'
 'Armsdealing 52' 'Armsdealing 69']",41.6,Armsdealing 28,0,[],0,2,"['Kasem', 'May']",2
3,22,2076.4,2083.7,3,1,['Armsdealing 24'],9.3,1,['Armsdealing 28'],1.5,1,['Armsdealing 28'],0.6,Armsdealing 28,0,[],0,0,[],0
3,23,2083.7,2194.5,27,9,"['Armsdealing 10' 'Armsdealing 101' 'Armsdealing 22' 'Armsdealing 24'
 'Armsdealing 25' 'Armsdealing 55' 'Armsdealing 56' 'Armsdealing 81']",192.1,12,"['Armsdealing 24' 'Armsdealing 28' 'Armsdealing 4' 'Armsdealing 45'
 'Armsdealing 8']",34.4,5,['Armsdealing 4' 'Armsdealing 45' 'Armsdealing 8'],4.4,Armsdealing 4,0,[],0,1,['Dubai'],1
3,24,2194.5,2209.9,4,1,['Armsdealing 29'],20.7,3,['Armsdealing 4' 'Armsdealing 8'],1.5,0,[],0,Armsdealing 8,0,[],0,0,[],0
